recipe_id,total_co2,emission_class,diet_labels,total_weight,number_of_ingredients
0,4026.9599999999996,F,"['High-Protein', 'Low-Carb', 'Low-Sodium']",408.0,2
1,13435.5340757,G,"['Low-Carb', 'Low-Sodium']",54.7830844,2
2,6575.985636359112,F,"['Low-Fat', 'Low-Sodium']",879.6222222222223,6
3,27074.433029888816,G,['Low-Carb'],2852.3082898507128,6
4,13597.74614581046,F,['Low-Carb'],1409.71026665,6
5,7037.274999999999,G,['Low-Carb'],947.5,2
6,37443.976995840014,F,"['Balanced', 'High-Fiber']",4720.335568143716,12
7,7043.2715619975625,G,['High-Fiber'],1401.5472222228152,17
8,19270.308929099476,F,['Low-Carb'],2082.162893162682,10
9,5479.0031381842,F,[],1136.9,7
10,11171.300428697186,G,['Low-Carb'],1323.4086145412498,11
11,14380.39485148039,G,['High-Fiber'],1830.4552216703996,8
12,9084.277824750072,E,"['High-Protein', 'Low-Carb', 'Low-Sodium']",946.737994664,3
13,11844.403020833843,F,['Low-Carb'],1279.6231621676309,3
14,16584.973438577985,G,[],2760.732988316931,17
15,3668.056893774179,F,['Low-Carb'],518.88,6
16,19582.69431100985,G,[],2570.348143125,10
17,26292.17442504346,G,['Low-Carb'],3120.3396787430834,14
18,12723.32849177883,F,[],1403.009015923215,9
19,7011.499840218657,F,[],766.254375000037,9
20,11353.05620757711,G,[],1627.8592062317323,9
21,10786.196023853281,G,[],1333.58806670621,8
22,31948.113130436,G,"['High-Protein', 'Low-Carb']",3617.8,8
23,8105.132971183363,F,[],1148.2513888886247,8
24,27323.625339005997,G,['Low-Carb'],3524.395,8
25,47943.29921483468,G,['Low-Carb'],5242.846298582961,18
26,10804.173124995988,F,"['High-Protein', 'Low-Carb']",1169.6874999989654,7
27,19528.042722043774,G,[],2217.1683562940693,10
28,3847.24520157,F,['Low-Carb'],515.6,3
29,9986.700093223653,G,[],1308.5737574474729,12
30,15053.792186674571,G,['Balanced'],809.7674813899639,6
31,37415.700620375,G,[],4649.3217925,2
