,total_co2,total_co2,total_weight,total_weight
,mean,std,mean,count
recipe_name,,,,
Poached Chicken for Tacos,4026.96,,408.0,1
Chicken Broth,20374.395391327776,9813.031779986824,92.73618215555555,2
Fig & Balsamic Chicken,6575.985636359112,,879.6222222222223,1
Basic Roast Chicken,27074.433029888816,,2852.3082898507128,1
Ultimate Roast Chicken,13597.74614581046,,1409.71026665,1
Chicken & peppers,7037.274999999999,,947.5,1
Chicken Tamales,37443.976995840014,,4720.335568143716,1
Chicken biryani,13839.241986788827,9610.953544226244,2017.9546244280996,2
Roast Chicken With Chicken Livers,19270.30892909948,,2082.162893162682,1
Chicken Carbonara,6559.7210706217,1528.3659571529258,1246.39523125,2
Chicken Parmigiana recipes,11171.300428697186,,1323.4086145412498,1
Chicken Piccata,10715.275707707413,4266.633619190763,1325.5837457694008,13
Chicken Tacos,8470.878161096247,3813.4304070556855,1236.9319524994746,4
Homemade Essence of Chicken,11844.403020833844,,1279.6231621676309,1
Chicken Fricassee,16584.973438577985,,2760.732988316931,1
Lemon & Caper Chicken,3668.056893774179,,518.88,1
Chicken paprika,26292.17442504346,,3120.339678743084,1
Chicken Liver Pâté,12723.32849177883,,1403.009015923215,1
Chicken Kiev,7011.499840218657,,766.254375000037,1
Quinoa-Crusted Chicken,10786.19602385328,,1333.58806670621,1
Chicken Piccata Hilary,31948.113130436,,3617.8,1
Braised Chicken Gumbo,8105.132971183363,,1148.251388888625,1
Chicken Marengo,27323.625339006,,3524.395,1
Chicken Pie,47943.29921483468,,5242.846298582961,1
Firecracker Chicken,10804.173124995988,,1169.6874999989654,1
Chicken soup,19528.04272204377,,2217.1683562940693,1
Chicken Teriyaki,3847.24520157,,515.6,1
Chicken Potpies,9986.700093223651,,1308.5737574474729,1
Chicken & sweetcorn ramen,15053.792186674573,,809.7674813899639,1
Barbecued Chicken,37415.700620375,,4649.3217925,1
Roast Chicken Breasts With Chicken Gravy,9993.759097270336,,1074.9499999997358,1
Lemon Chicken,7491.477824980611,2512.884338279125,1068.2869924531578,4
Chicken Satay,14935.981279599951,5162.034409867545,1732.871101085953,2
Chicken Quinoa,8502.880949449474,,1821.4392,1
Braised Chicken Sausages,14022.591722122,,1587.93474,1
Chicken Paillard,9709.246310553424,5695.146733079007,1156.5935784478395,2
Crispy Chicken Dippers,14598.547702590624,,3027.3533021875,1
Southwestern Chicken Soup,14458.425485548036,,2050.314902152778,1
Chicken Risotto,12604.968911418026,,1641.4473179176148,1
Easy Chicken Posole,12159.898239284608,,1608.9996853422997,1
Chicken With Jerk Marinade,7565.846454169648,,771.774006186507,1
Easy Chicken Soup,12741.23,,1433.8,1
Chicken Liver Paté,6966.438274811713,,1082.1139999998406,1
Stuffed Chicken Caprese,27513.33133780036,,2484.993891074528,1
Chicken Roulades,25142.0460934059,,2763.349999999742,1
